
as 16:16:32 ---- APP STARTED ---

sc 16:16:33 -- :Menu Utama --
.. 16:16:46      .
td 16:34:05      touched on :(125.00000000000001, 962.9999999999999)
td 16:34:05      touched on :(94.0, 980.0)
td 16:34:05      touched on :(15.0, 1052.0)
td 16:34:05      touched on :(153.0, 1066.0)
td 16:34:05      touched on :(233.0, 1103.0)
td 16:34:05      touched on :(415.0, 1103.0)
td 16:34:05      touched on :(439.0, 1049.0)
td 16:34:05      touched on :(594.0, 1103.0)
td 16:34:05      touched on :(704.0, 1029.0)
td 16:34:05      touched on :(570.0, 1091.0000000000002)
td 16:34:05      touched on :(638.0, 1060.0)
.. 16:34:05      .
td 16:34:05      touched on :(495.0, 1103.0)
td 16:34:05      touched on :(606.0, 1073.0)
td 16:34:05      touched on :(510.0, 1092.0)
td 16:34:05      touched on :(537.0, 1094.0)
td 16:34:05      touched on :(464.0, 1048.0)
td 16:34:05      touched on :(495.0, 1092.0)
td 16:34:05      touched on :(404.0, 1093.0)
td 16:34:05      touched on :(219.0, 979.0)
td 16:34:06      touched on :(267.0, 1089.0)
td 16:34:06      touched on :(332.0, 1059.0)
td 16:34:06      touched on :(173.0, 1103.0)
td 16:34:06      touched on :(171.0, 1047.0)
td 16:34:06      touched on :(207.0, 1103.0)
td 16:34:06      touched on :(318.0, 1060.0)
td 16:34:06      touched on :(28.0, 1004.0)
td 16:34:06      touched on :(242.0, 820.0)
td 16:34:06      touched on :(73.0, 638.0)
td 16:34:06      touched on :(47.0, 593.0)
td 16:34:06      touched on :(14.0, 552.0)
td 16:34:06      touched on :(14.0, 441.99999999999994)
td 16:34:06      touched on :(106.0, 357.00000000000006)
td 16:34:06      touched on :(14.0, 292.99999999999994)
td 16:34:06      touched on :(59.0, 234.99999999999997)
td 16:34:06      touched on :(139.0, 259.0)
td 16:34:06      touched on :(97.0, 44.0)
td 16:34:06      touched on :(202.0, 88.0)
td 16:34:06      touched on :(215.0, 87.00000000000006)
td 16:34:06      touched on :(195.0, 168.99999999999997)
td 16:34:06      touched on :(169.0, 105.99999999999994)
td 16:34:06      touched on :(206.0, 317.99999999999994)
td 16:34:06      touched on :(135.0, 626.0)
bp 16:34:06      pressed :e-Kelurahan
td 16:34:06      touched on :(170.0, 683.0)
td 16:34:06      touched on :(288.0, 724.0)
td 16:34:06      touched on :(205.0, 808.9999999999999)
td 16:34:06      touched on :(206.0, 908.0)
td 16:34:06      touched on :(287.0, 902.0000000000001)
td 16:34:06      touched on :(324.0, 992.0)
td 16:34:06      touched on :(230.0, 931.0)
td 16:34:06      touched on :(157.0, 931.0)
bp 16:34:06      pressed :e-Kelurahan
td 16:34:06      touched on :(33.0, 385.00000000000006)
td 16:34:06      touched on :(13.0, 449.0)
td 16:34:06      touched on :(189.0, 416.99999999999994)
td 16:34:06      touched on :(16.0, 308.0)
td 16:34:06      touched on :(47.0, 344.0)
td 16:34:07      touched on :(0.0, 171.99999999999994)
td 16:34:07      touched on :(105.0, 377.0)
bp 16:34:07      pressed :e-Kelurahan
td 16:34:07      touched on :(117.0, 262.99999999999994)
td 16:34:07      touched on :(61.0, 124.0)
td 16:34:07      touched on :(385.0, 242.99999999999997)
td 16:34:07      touched on :(301.0, 113.99999999999996)
td 16:34:07      touched on :(455.0, 275.0)
td 16:34:07      touched on :(502.0, 358.99999999999994)
td 16:34:07      touched on :(461.0, 391.99999999999994)
td 16:34:07      touched on :(449.0, 454.0)
bp 16:34:07      pressed :e-Kelurahan
td 16:34:07      touched on :(559.0, 599.0)
bp 16:34:07      pressed :e-Kelurahan
bp 16:34:07      pressed :e-Kelurahan
bp 16:34:07      pressed :e-Kelurahan
td 16:34:07      touched on :(634.0, 761.0)
td 16:34:07      touched on :(614.0, 931.0)
td 16:34:07      touched on :(660.0, 898.0)
td 16:34:07      touched on :(510.0, 947.0)
td 16:34:07      touched on :(525.0, 1031.0)
td 16:34:07      touched on :(684.0, 971.0)
td 16:34:07      touched on :(579.0, 1052.0)
td 16:34:07      touched on :(603.0, 984.9999999999999)
